jugador_entra,jugador_sale,Minuto,equipo
"ORDOÑEZ QUETGLAS, MARC","MUNAR LAZARO, DANIEL",46,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","KRAUSSE, IGNACIO TOMAS",68,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","AMENGUAL LIRIO, IVAN",80,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","SANCHO OLIVER, PEDRO",87,SP. ATº CIUTAT DE PALMA
"KEITA SIDIBE, MADY","KRZYZYK SERRANO, PEDRO",87,SP. ATº CIUTAT DE PALMA
"VILLALONGA GÓMEZ, IKER","VICENS VIDAL, PAU",50,PALMA F.C.
"FOLGADO GARNICA, PAULO","PORCEL MARTINEZ, JORDI",60,PALMA F.C.
"ALCALDE ORTEGA, JUAN JOSÉ","FERRA OSPINA, CARLES JOAN",60,PALMA F.C.
"ALLENDES SEPULVEDA, MARTIN ALONSO","FRANCO SINGEORZAN, ALEX",73,PALMA F.C.
"CONDE, MAMADI","GOMEZ ACUÑA, RENSON ENRIQUE",73,PALMA F.C.
