jugador_entra,jugador_sale,Minuto,equipo
"PORCEL MARTINEZ, JORDI","VILLALONGA GÓMEZ, IKER",57,PALMA F.C.
"GOMEZ ACUÑA, RENSON ENRIQUE","NDIR GUEYE, MOUHAMADOUL LAMIN",69,PALMA F.C.
"MARCANO FLORIAN, SEBASTIAN JESUS","CONDE, MAMADI",69,PALMA F.C.
"FERRA OSPINA, CARLES JOAN","ALCALDE ORTEGA, JUAN JOSÉ",76,PALMA F.C.
"ACUÑA LOPEZ, MARIO AGUSTIN","FRANCO SINGEORZAN, ALEX",76,PALMA F.C.
"HOMAR GARCIA, ROMAN","PATRICIO TORRRENS, JUAN",57,ANDRATX A
"KRAWIETZ, FRANZ PETER","JIMENEZ PASTOR, IKER",57,ANDRATX A
"ALARCON FERRER, ADRIAN","TUR HORRACH, HUG",66,ANDRATX A
"AMER CASTILLO, MIGUEL","ROGEL ARRIAGA, BRYAN STALIN",66,ANDRATX A
"LABRADOR VILLAR, SERGIO","DE JUANA QUETGLAS, SERGIO",70,ANDRATX A
