jugador_entra,jugador_sale,Minuto,equipo
"AIT SAID TAFZATI, NABIL","CACERES COMAS, SERGI",46,PLA DE NA TESA A
"MONTALBAN ROMERO, MILO JERONIMO","MONTES MORALES, ADRIAN",80,PLA DE NA TESA A
"ASAMOAH ASANTEWAA, DENIS","MASCARÓ SERVERA, JUAN",80,PLA DE NA TESA A
"MARTINEZ ESPINOSA, DENIS","MORA GISPERT, HUGO",88,PLA DE NA TESA A
"MESA ZAFRA, CHRISTIAN","GONZALEZ OBRADOR, ENRIC",88,PLA DE NA TESA A
"JUANEDA JUANEDA, JOSEP","LEON JUAN, VICTOR",46,PENYA CIUTADELLA ESPORTIVA A
"MOLL PONS, MIQUEL","CAMPS SEOANE, VICTOR",58,PENYA CIUTADELLA ESPORTIVA A
"PONS MOLL, FRANCESC","SALORT MARIN, JORGE",58,PENYA CIUTADELLA ESPORTIVA A
"CAPO MORA, MARC","AGUILAR BOSCH, DAVID",58,PENYA CIUTADELLA ESPORTIVA A
"HUGUET ANGLADA, LLUIS","TRIAY SASTRE, ADRIA",90,PENYA CIUTADELLA ESPORTIVA A
