jugador_entra,jugador_sale,Minuto,equipo
"SUÁREZ SERRA, ALEX","SALAMANCA GALERA, AITOR",46,SAN FRANCISCO B
"LUNEGRO, BRUNO","ALARCON CAVERO, JOEL",46,SAN FRANCISCO B
"BARRAGAN AGUILO, HECTOR DARIO","MASSANET CABRER, FRANCESC",65,SAN FRANCISCO B
"GIRALDE BAUZA, JAVIER","CLADERA SOBERATS, LLORENÇ",70,SAN FRANCISCO B
"CONDE PEREIRA, ALEJANDRO MANUEL","GALLARDO DEL VALLE, BENJAMIN",75,SAN FRANCISCO B
"BAUZA COMPANY, JOAN","MONTES CARDONA, CHRISTIAN",28,MANACOR A
"LAMSIAH AJGHOUF, OSSAMA","TRIAY PETHERAM, TOMAS ISMAEL",46,MANACOR A
"VIVES HIDALGO, IKER","DOMINICI ALMONTE, ANTHONY DE JESUS",46,MANACOR A
"POSTIGO GARAT, RAUL","FUSTER GONZALEZ, SERGI",56,MANACOR A
"CORCHADO JIMENEZ, ISAAC","LAKHAL ZEROUALE, SAAD",69,MANACOR A
