jugador_entra,jugador_sale,Minuto,equipo
"GOMEZ GORDILLO, RAUL","LASSO VIAFARA, ANDRES FELIPE",25,UD MAHON
"DE OLIVEIRA MESSIAS, EMMANUEL","GRUBAC, NOA",46,UD MAHON
"SINTES MELERO, ALVARO","LOPEZ FERNANDEZ, MARC",60,UD MAHON
"BOLIVAR PERAL, ROGER","DIALLO, FODE",60,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","PEREZ MARTIN, IGNACIO",72,UD MAHON
"TORRALBA TANUGGI, LUIS","SALMERON SEGURA, JONATHAN",55,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","RODRIGUEZ MONGELOS, GAEL PAU",74,SD LA SALLE A
"MOYA PEDREGOSA, ALEJANDRO","ESCUERO PARDOS, MARTI",74,SD LA SALLE A
"VIVARES ARANDA, YANNICK","FERNANDEZ CABRERA, DAVID",74,SD LA SALLE A
"AMAYA MALENO, FRANCISCO","COMAS HUTTEN, PAU LLUIS",80,SD LA SALLE A
