jugador_entra,jugador_sale,Minuto,equipo
"MBAYE RUIZ, MOUHAMAD YASIN","DE LA PUERTA MARTORELL, JAUME",66,FERRERIES A
"BOSCH PULIDO, NIL","FAMIGLIETTI MARQUEZ, LUCA",66,FERRERIES A
"SINTES PONS, PAU","AMELLER RIUDAVETS, JOSEP",73,FERRERIES A
"ROTGER LÓPEZ, LLUC","GOMILA BOSCH, LLUÍS",73,FERRERIES A
"CAMPS CARETA, PERE","CANTALAPIEDRA LOBATO, IKER",79,FERRERIES A
"TUR HORRACH, HUG","ROGEL ARRIAGA, BRYAN STALIN",16,ANDRATX A
"KRAWIETZ, FRANZ PETER","VARGAS RODRIGUEZ, NICOLAS",45,ANDRATX A
"ALMERING, BEPPE","LUPIAÑEZ ALEMANY, TONI",58,ANDRATX A
"PATRICIO TORRRENS, JUAN","JIMENEZ PASTOR, IKER",58,ANDRATX A
"HOMAR GARCIA, ROMAN","VILLARRAMIEL PIÑEIRO, IVAN",73,ANDRATX A
