jugador_entra,jugador_sale,Minuto,equipo
"SEGUI ESTEBAN, IAN","LEBRERO BENITEZ, HUGO",52,PENYA ARRABAL A
"GARCES NAVARRETE, JEREMY","MUÑOZ BAIXAULI, JUAN",52,PENYA ARRABAL A
"MORENO PUJOL, JAVIER","ARIAS BESTARD, ENZO",52,PENYA ARRABAL A
"ECHEVERRY ISAZA, SANTIAGO","CASTAÑER PECELLIN, RAFAEL",82,PENYA ARRABAL A
"MAS MAIMO, JOSEP","CRESPI BARRERA, LEONARDO",93,PENYA ARRABAL A
"MUNAR LAZARO, DANIEL","CORTES MONTANER, LUIS",69,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","PUJOL FONT, JAUME",74,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","KRAUSSE, IGNACIO TOMAS",74,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","CACERES AMOROS, MATEO",87,SP. ATº CIUTAT DE PALMA
"ORDOÑEZ QUETGLAS, MARC","KRZYZYK SERRANO, PEDRO",87,SP. ATº CIUTAT DE PALMA
