jugador_entra,jugador_sale,Minuto,equipo
"ELHADJ ABDOULAYE, BALDE","GRUBAC, NOA",45,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","DIALLO, FODE",45,UD MAHON
"LOPEZ FERNANDEZ, MARC","DE OLIVEIRA MESSIAS, EMMANUEL",61,UD MAHON
"NGONG NGO, FABRICE","IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",70,UD MAHON
"BOLIVAR PERAL, ROGER","TEJEDOR MORENO, ALEJANDRO",70,UD MAHON
"HORRACH LLABRES, GERARDO","COCA ANTELO, ANDREW",56,MALLORCA B
"AVILÉS MAESTRE, JOEL","DIALLO CONDE, ABDOURAHAMANE",56,MALLORCA B
"CORCINO MUÑOZ, ANDRES","HORRACH LLABRES, GERARDO",70,MALLORCA B
"TEJADA LLADONET, ORIOL","FRESNEDA HIDALGO, HUGO",76,MALLORCA B
"GARCIA LLOMPART, RAFEL","MOLINA DONAIRE, DANIEL",76,MALLORCA B
