jugador_entra,jugador_sale,Minuto,equipo
"LAZARO TORRES, MARIO","CORCINO MUÑOZ, ANDRES",60,MALLORCA B
"MOLINA DONAIRE, DANIEL","GARCIA LLOMPART, RAFEL",60,MALLORCA B
"COCA ANTELO, ANDREW","VERD ALONSO, ABEL",66,MALLORCA B
"FRESNEDA HIDALGO, HUGO","TEJADA LLADONET, ORIOL",78,MALLORCA B
"ARAQUE CARRASCOSA, AITOR","HORRACH LLABRES, GERARDO",78,MALLORCA B
"CASAUS SANCHEZ, JOSE IGNACIO","GAYUBAS GONZALEZ, LUIS MIGUEL",46,PLATGES DE CALVIA A
"ALCOLEA ESCORCIA, CARLOS","SANCHIS MARTINEZ, DAVID",65,PLATGES DE CALVIA A
"CARDONA MARTIN, MARCOS","PEREZ SILVENTE, ALEJANDRO",65,PLATGES DE CALVIA A
"FERRAGUT DIAZ, TONI","PUJOL ALOMAR, TELM",84,PLATGES DE CALVIA A
"GARCÍA RODRÍGUEZ, UNAI","PARRA VIZUETE, DANIEL",86,PLATGES DE CALVIA A
