jugador_entra,jugador_sale,Minuto,equipo
"CRESPI BARRERA, LEONARDO","PONS SERRANO, ALEIX",61,PENYA ARRABAL A
"HERRERA IGLESIAS, ADRIAN","SEGUI ESTEBAN, IAN",61,PENYA ARRABAL A
"MUÑOZ BAIXAULI, JUAN","LEBRERO BENITEZ, HUGO",69,PENYA ARRABAL A
"ARIAS BESTARD, ENZO","VALLESPIR TIMONER, PERE MARC",69,PENYA ARRABAL A
"MAS MAIMO, JOSEP","FIOL ACEITUNO, MIQUEL",90,PENYA ARRABAL A
"ASAMOAH ASANTEWAA, DENIS","CACERES COMAS, SERGI",63,PLA DE NA TESA A
"CUNI GELABERT, MARC","FERNÁNDEZ RODRÍGUEZ, IKER",71,PLA DE NA TESA A
"AIT SAID TAFZATI, NABIL","MONTALBAN ROMERO, MILO JERONIMO",71,PLA DE NA TESA A
"MESA ZAFRA, CHRISTIAN","FERRER FERNANDEZ, ALEJANDRO",80,PLA DE NA TESA A
"SANCHEZ GARAU, ADRIA","COULIBALY COULIBALY, MADANE",80,PLA DE NA TESA A
