jugador_entra,jugador_sale,Minuto,equipo
"GOMEZ BARBOSA, RICARDO ADRIAN","SANS JIMENEZ, MIQUEL ANGEL",61,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","SARMIENTO CABAÑIN, GABRIEL A",61,SP. ATº CIUTAT DE PALMA
"GAETE MARTINEZ, ISMAEL","KRZYZYK SERRANO, PEDRO",61,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",72,SP. ATº CIUTAT DE PALMA
"AMENGUAL LIRIO, IVAN","MARTINEZ GOMEZ, DYLAN",72,SP. ATº CIUTAT DE PALMA
"RODRIGUEZ ROIG, ARIAN","ELIAS ARANDIA, SAMUEL ABEL",45,U D IBIZA A
"CUBERO GUASCH, JOAN","VALLS ANIORTE, TARIKU",56,U D IBIZA A
"TORRES RIERA, LLUC","GARCIA ALBA, JAVIER",56,U D IBIZA A
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","BERNASCONI, SANTINO",75,U D IBIZA A
"GONZALEZ CASURIAGA, THIAGO","PUGLIESE, PAOLO ALBERTO",81,U D IBIZA A
