jugador_entra,jugador_sale,Minuto,equipo
"BOTELLO CARMONA, PAU","MARTIN MONSALVE, IAN",46,CONSTANCIA A
"BLANCO WEBER, LUCA","SABATER SANCHO, MARC",46,CONSTANCIA A
"CABEZAS GALLARDO, MANUEL","GALVEZ ESPINOZA, BRAD ANTONY",60,CONSTANCIA A
"CHUKWUKERE PULLET, GREGORY IKECHUKWU","COLL AREVALO, JORDI",66,CONSTANCIA A
"BALLE BRUNET, JOAN","OLIVER GELABERT, PERE",72,CONSTANCIA A
"MARTIN CABALLERO, ANGEL","DEYÀ BELTRÁN, SEBASTIÀ",66,SANTA CATALINA ATº A
"BARRIGA CATRINA, VICTOR","MASCARELL LLABRES, MARC",66,SANTA CATALINA ATº A
"ENTRENA CALDENTEY, MANUEL","ALARCON RAGO, THIAGO",76,SANTA CATALINA ATº A
"EZ ZARY SAIDI, ISMAEL","ADROVER MELIS, FRANCESC",76,SANTA CATALINA ATº A
"GARCIAS LLABRES, MIQUEL","LOPEZ FUXA, AARON",82,SANTA CATALINA ATº A
