jugador_entra,jugador_sale,Minuto,equipo
"LAKHAL ZEROUALE, SAAD","RODRIGUEZ GALDON, DANIEL",72,MANACOR A
"MONTES CARDONA, CHRISTIAN","FUSTER GONZALEZ, SERGI",72,MANACOR A
"DOMINICI ALMONTE, ANTHONY DE JESUS","GUICHANDUT GOMILA, MARC",72,MANACOR A
"LAMSIAH AJGHOUF, OSSAMA","GRAHAM, NATHAN STUART",78,MANACOR A
"TRIAY PETHERAM, TOMAS ISMAEL","POSTIGO GARAT, RAUL",86,MANACOR A
"JANER BOSCH, NOFRE","FLORES BARRERA, GERARD",32,FERRERIES A
"CANTALAPIEDRA LOBATO, IKER","BAGUR MOYA, HUGO",53,FERRERIES A
"FAMIGLIETTI MARQUEZ, LUCA","BOSCH PULIDO, NIL",53,FERRERIES A
"ROTGER LÓPEZ, LLUC","DE LA PUERTA MARTORELL, JAUME",75,FERRERIES A
"CAMPS CARETA, PERE","GOMILA BOSCH, LLUÍS",75,FERRERIES A
