jugador_entra,jugador_sale,Minuto,equipo
"MUNAR LAZARO, DANIEL","KRAUSSE, IGNACIO TOMAS",60,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","SARMIENTO CABAÑIN, GABRIEL A",76,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","CORTES MONTANER, LUIS",76,SP. ATº CIUTAT DE PALMA
"GOMEZ BARBOSA, RICARDO ADRIAN","AMENGUAL LIRIO, IVAN",88,SP. ATº CIUTAT DE PALMA
"KEITA SIDIBE, MADY","KRZYZYK SERRANO, PEDRO",88,SP. ATº CIUTAT DE PALMA
"SANCHEZ LAFUENTE, ARITZ","PUYA TUR, OSCAR",46,SD LA SALLE A
"GIL MASSANET, LLUIS","ESCUERO PARDOS, MARTI",46,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","MOYA PEDREGOSA, ALEJANDRO",60,SD LA SALLE A
"COMAS HUTTEN, PAU LLUIS","AMAYA MALENO, FRANCISCO",60,SD LA SALLE A
"GOMILA GAMERO, FRANCISCO","FERNANDEZ CABRERA, DAVID",64,SD LA SALLE A
