jugador_entra,jugador_sale,Minuto,equipo
"TRIAY HIERRO, TEO","CAMPS CARETA, PERE",45,FERRERIES A
"FLORES MOYA, ELOY","CANTALAPIEDRA LOBATO, IKER",45,FERRERIES A
"BAGUR MOYA, HUGO","MBAYE RUIZ, MOUHAMAD YASIN",67,FERRERIES A
"PULIDO COLL, IZAN","BOSCH VALDERRABANO, TONI",70,FERRERIES A
"MARIN HERNANDEZ, PAU","PONS CARRERAS, ANGEL",85,FERRERIES A
"ZARZA DUARTE, JORGE EMANUEL","ORTIZ CHAPARRO, DAVID",45,U D IBIZA A
"TORRES RIERA, LLUC","GONZALEZ CASURIAGA, THIAGO",45,U D IBIZA A
"OKROGLIC SOMOZA, LUKA","BERNASCONI, SANTINO",45,U D IBIZA A
"ELIAS ARANDIA, SAMUEL ABEL","TORRES RAMON, DIDAC",78,U D IBIZA A
"ASENSIO ESCANDELL, ANDRES","AGUILAR COSTA, MARTÍ",88,U D IBIZA A
