jugador_entra,jugador_sale,Minuto,equipo
"PASCUAL RIERA, MIGUEL ANGEL","MARTINEZ MUNTANER, SERGI",62,PENYA ARRABAL A
"MORENO PUJOL, JAVIER","GARCIA HERNANDEZ, JOSE RAMON",62,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","CRESPI BARRERA, LEONARDO",68,PENYA ARRABAL A
"SEGUI ESTEBAN, IAN","LEBRERO BENITEZ, HUGO",68,PENYA ARRABAL A
"MAS MAIMO, JOSEP","FIOL ACEITUNO, MIQUEL",73,PENYA ARRABAL A
"LAMSIAH AJGHOUF, OSSAMA","DOMINICI ALMONTE, ANTHONY DE JESUS",45,MANACOR A
"MARTINEZ ABELLAN, IKER","RODRIGUEZ GALDON, DANIEL",49,MANACOR A
"LAKHAL ZEROUALE, SAAD","POSTIGO GARAT, RAUL",64,MANACOR A
"TRIAY PETHERAM, TOMAS ISMAEL","GRAHAM, NATHAN STUART",64,MANACOR A
"GARCIA MESTRE, DAVID","VIVES HIDALGO, IKER",81,MANACOR A
