jugador_entra,jugador_sale,Minuto,equipo
"BARRIGA CATRINA, VICTOR","ALARCON RAGO, THIAGO",46,SANTA CATALINA ATº A
"MARTIN CABALLERO, ANGEL","LOMAS SERVERA, PAU",60,SANTA CATALINA ATº A
"MENDOZA SOLER, MARIO","ADROVER MELIS, FRANCESC",70,SANTA CATALINA ATº A
"MASCARELL LLABRES, MARC","BARRIGA CATRINA, VICTOR",76,SANTA CATALINA ATº A
"GARCIA BISQUERRA, JAVIER","EZ ZARY SAIDI, ISMAEL",76,SANTA CATALINA ATº A
"NAVIO TORRICO, ADRIAN","ASAMOAH ASANTEWAA, DENIS",67,PLA DE NA TESA A
"CACERES COMAS, SERGI","MASCARÓ SERVERA, JUAN",76,PLA DE NA TESA A
"NAVARRO BEZARES, JAVIER","MONTES MORALES, ADRIAN",80,PLA DE NA TESA A
"MONTES DE OCA LÓPEZ, VICTOR","MORA GISPERT, HUGO",80,PLA DE NA TESA A
"AIT SAID TAFZATI, NABIL","COULIBALY COULIBALY, MADANE",80,PLA DE NA TESA A
