jugador_entra,jugador_sale,Minuto,equipo
"ARBOS DENGRA, DIEGO","FERNANDEZ CABRERA, DAVID",40,SD LA SALLE A
"RODRIGUEZ MONGELOS, GAEL PAU","GIL MASSANET, LLUIS",62,SD LA SALLE A
"VIVARES ARANDA, YANNICK","GOMILA GAMERO, FRANCISCO",62,SD LA SALLE A
"AMAYA MALENO, FRANCISCO","PANEQUE PÉREZ, JOEL",62,SD LA SALLE A
"PUYA TUR, OSCAR","ESCUERO PARDOS, MARTI",77,SD LA SALLE A
"JIMENEZ PASTOR, IKER","PATRICIO TORRRENS, JUAN",60,ANDRATX A
"LEFTER, ANDREI FABIAN","DE JUANA QUETGLAS, SERGIO",67,ANDRATX A
"SINTES DIAZ, JOAN","VARGAS RODRIGUEZ, NICOLAS",67,ANDRATX A
"ALARCON FERRER, ADRIAN","DE JUANA QUETGLAS, DIEGO",81,ANDRATX A
"POLINTANG ANCHETA, GIANNE LARRY","HOMAR GARCIA, ROMAN",81,ANDRATX A
