jugador_entra,jugador_sale,Minuto,equipo
"GALVEZ ESPINOZA, BRAD ANTONY","BOTELLO CARMONA, PAU",54,CONSTANCIA A
"COLL AREVALO, JORDI","BALLE BRUNET, JOAN",54,CONSTANCIA A
"MAIRATA NOGUERA, ADRIA","ROMAN DE REMENTERIA, ASIER",66,CONSTANCIA A
"PATRICIO GUAL, MARC","CHUKWUKERE PULLET, GREGORY IKECHUKWU",66,CONSTANCIA A
"CABEZAS GALLARDO, MANUEL","BLANCO WEBER, LUCA",82,CONSTANCIA A
"MORELL SACRISTÁN, CARLOS","FRANCO SINGEORZAN, ALEX",60,PALMA F.C.
"FERREIRO GOMEZ, ALVARO","NDIR GUEYE, MOUHAMADOUL LAMIN",81,PALMA F.C.
"FOLGADO GARNICA, IXTZUL","FERRA OSPINA, CARLES JOAN",81,PALMA F.C.
"VICENS VIDAL, PAU","MARCANO FLORIAN, SEBASTIAN JESUS",81,PALMA F.C.
"ROIG IBAÑEZ, XAVI","VILLALONGA GÓMEZ, IKER",87,PALMA F.C.
