jugador_entra,jugador_sale,Minuto,equipo
"GONZÁLEZ ONETO, ASSIER","THIAM BORRAS, KARIM",45,POBLENSE A
"GIBSON, JASPER","FERNANDEZ HEREDIA, ALEJANDRO",79,POBLENSE A
"VIVES COMAS, JOAN JORDI","DE LA CRUZ RIERA, JOAN MATEU",79,POBLENSE A
"FERRER RIGO, SEBASTIÀ","CAIMARI FIGUEROLA, JAUME",85,POBLENSE A
"ASBAI HAMOUTI, ALI","ENSEÑAT RAMIS, MIQUEL",89,POBLENSE A
"FERNÁNDEZ CASSO, ALBERTO","ORELLANA ZERDA, JORDI",55,SP. ATº CIUTAT DE PALMA
"CACERES AMOROS, MATEO","GOMEZ BLANCA, AARON",55,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","KRAUSSE, IGNACIO TOMAS",55,SP. ATº CIUTAT DE PALMA
"CANALS GONZALEZ, TOMEU","SARMIENTO CABAÑIN, GABRIEL A",72,SP. ATº CIUTAT DE PALMA
"GUAZO ALZAMORA, CARLOS","MUNAR LAZARO, DANIEL",72,SP. ATº CIUTAT DE PALMA
