jugador_entra,jugador_sale,Minuto,equipo
"GIBSON, JASPER","CAIMARI FIGUEROLA, JAUME",65,POBLENSE A
"MEFTAH ES SALEMY, BILAL","RETTICH SOLER, JOSEP",80,POBLENSE A
"THIAM BORRAS, KARIM","GONZÁLEZ ONETO, ASSIER",80,POBLENSE A
"VIVES COMAS, JOAN JORDI","CHICA COMAS, JUAN A",89,POBLENSE A
"FERRER RIGO, SEBASTIÀ","FERNANDEZ HEREDIA, ALEJANDRO",89,POBLENSE A
"PATRICIO TORRRENS, JUAN","HOMAR GARCIA, ROMAN",46,ANDRATX A
"ROGEL ARRIAGA, BRYAN STALIN","DE JUANA QUETGLAS, SERGIO",62,ANDRATX A
"ALARCON FERRER, ADRIAN","DE JUANA QUETGLAS, DIEGO",62,ANDRATX A
"KRAWIETZ, FRANZ PETER","ALMERING, BEPPE",78,ANDRATX A
"JIMENEZ PASTOR, IKER","VARGAS RODRIGUEZ, NICOLAS",88,ANDRATX A
