jugador_entra,jugador_sale,Minuto,equipo
"GARCÍA GARCÍA, ÁLVARO","GOMILA GAMERO, FRANCISCO",46,SD LA SALLE A
"MOYA PEDREGOSA, ALEJANDRO","PUYA TUR, OSCAR",57,SD LA SALLE A
"VIZCAINO SEGURA, ALAN","PANEQUE PÉREZ, JOEL",57,SD LA SALLE A
"ESCUERO PARDOS, MARTI","AMAYA MALENO, FRANCISCO",57,SD LA SALLE A
"CORTES BOIXO, ALEIX","GIL MASSANET, LLUIS",65,SD LA SALLE A
"TORRES RAMON, DIDAC","GONZALEZ CASURIAGA, THIAGO",46,U D IBIZA A
"ROMAN MUÑOZ, ETHAN","GORLA, AGUSTIN",46,U D IBIZA A
"ORTIZ CHAPARRO, DAVID","ELIAS ARANDIA, SAMUEL ABEL",70,U D IBIZA A
"ESTANY MARTINEZ, DAVID","GARCIA ALBA, JAVIER",70,U D IBIZA A
"OKROGLIC SOMOZA, LUKA","BERNASCONI, SANTINO",76,U D IBIZA A
