jugador_entra,jugador_sale,Minuto,equipo
"GAVILAN STAHN, NOAH","HURTADO LOPEZ, IVAN",46,ANDRATX A
"ALARCON FERRER, ADRIAN","DE JUANA QUETGLAS, SERGIO",46,ANDRATX A
"LUPIAÑEZ ALEMANY, TONI","DE JUANA QUETGLAS, DIEGO",46,ANDRATX A
"KRAWIETZ, FRANZ PETER","JIMENEZ PASTOR, IKER",52,ANDRATX A
"LEFTER, ANDREI FABIAN","VARGAS RODRIGUEZ, NICOLAS",67,ANDRATX A
"KRAUSSE, IGNACIO TOMAS","AQUINO GUTIERREZ, DAN JOEL",46,SP. ATº CIUTAT DE PALMA
"ORDOÑEZ QUETGLAS, MARC","ORELLANA ZERDA, JORDI",53,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","MUNAR LAZARO, DANIEL",63,SP. ATº CIUTAT DE PALMA
"CACERES AMOROS, MATEO","SANS JIMENEZ, MIQUEL ANGEL",63,SP. ATº CIUTAT DE PALMA
"GONZALEZ VASQUEZ, LUIS JOSE","SARMIENTO CABAÑIN, GABRIEL A",77,SP. ATº CIUTAT DE PALMA
