jugador_entra,jugador_sale,Minuto,equipo
"BLANCO WEBER, LUCA","COLL AREVALO, JORDI",54,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","CABEZAS GALLARDO, MANUEL",54,CONSTANCIA A
"PATRICIO GUAL, MARC","OLIVER GELABERT, PERE",54,CONSTANCIA A
"MAIRATA NOGUERA, ADRIA","ROMAN DE REMENTERIA, ASIER",63,CONSTANCIA A
"BOTELLO CARMONA, PAU","MARTIN MONSALVE, IAN",78,CONSTANCIA A
"SINTES PONS, PAU","AMELLER RIUDAVETS, JOSEP",46,FERRERIES A
"PONS MOLL, JOSEP LLUIS","BOSCH VALDERRABANO, TONI",46,FERRERIES A
"BOSCH PULIDO, NIL","CANTALAPIEDRA LOBATO, IKER",46,FERRERIES A
"PULIDO COLL, IZAN","JANER BOSCH, NOFRE",54,FERRERIES A
"ROTGER LÓPEZ, LLUC","MBAYE RUIZ, MOUHAMAD YASIN",72,FERRERIES A
