jugador_entra,jugador_sale,Minuto,equipo
"LAMSIAH AJGHOUF, OSSAMA","GAYA BOSCH, MIQUEL",46,MANACOR A
"POSTIGO GARAT, RAUL","MARTINEZ ABELLAN, IKER",46,MANACOR A
"PROHENS FERNANDEZ, XAVIER","GRAHAM, NATHAN STUART",55,MANACOR A
"BURGUERA BONET, JULIÀ","FUSTER GONZALEZ, SERGI",68,MANACOR A
"DOMINICI ALMONTE, ANTHONY DE JESUS","VIVES HIDALGO, IKER",78,MANACOR A
"GIBSON, JASPER","CAIMARI FIGUEROLA, JAUME",69,POBLENSE A
"VIVES COMAS, JOAN JORDI","AGUILERA PERELLO, ADRIÀ",80,POBLENSE A
"THIAM BORRAS, KARIM","GONZÁLEZ ONETO, ASSIER",80,POBLENSE A
"FERRER RIGO, SEBASTIÀ","MORAGUES MORAGUES, JOAN",80,POBLENSE A
"ASBAI HAMOUTI, ALI","RETTICH SOLER, JOSEP",85,POBLENSE A
