jugador_entra,jugador_sale,Minuto,equipo
"MASCARÓ SERVERA, JUAN","NAVARRO BEZARES, JAVIER",54,PLA DE NA TESA A
"COULIBALY COULIBALY, MADANE","AIT SAID TAFZATI, NABIL",54,PLA DE NA TESA A
"OSEGIE AMADASUN, MARVIN ISOKEN","MESA ZAFRA, CHRISTIAN",54,PLA DE NA TESA A
"ASAMOAH ASANTEWAA, DENIS","CACERES COMAS, SERGI",68,PLA DE NA TESA A
"FATY, MALANG","CRUZ SEGUI, SERGIO",87,PLA DE NA TESA A
"LLAMAS MARTINEZ, ERIC","FERRER TORRES, PEDRO",46,PENYA INDEPENDENT A
"JUAN GUASCH, JORDI MIQUEL","ESCANDELL RIBAS, JOAN",46,PENYA INDEPENDENT A
"RAMON DIAZ, HUGO","VILLAR MARI, BARTOMEU TONI",46,PENYA INDEPENDENT A
"PRATS RIPOLL, MIQUEL","FAQUINETTI VERGILIO, SAMUEL",60,PENYA INDEPENDENT A
"GRANDA VILLAVICENCIO, DAVID JOAN","BERNHARDT, JOEL PIOTR",73,PENYA INDEPENDENT A
