jugador_entra,jugador_sale,Minuto,equipo
"ELHADJ ABDOULAYE, BALDE","SINTES MELERO, ALVARO",51,UD MAHON
"GASCON SASTRE, IKER","LASSO VIAFARA, DUVAN FELIPE",51,UD MAHON
"ORFILA PONCE, JULEN","DE OLIVEIRA MESSIAS, EMMANUEL",65,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","MASCARO MARTINEZ, IKER",65,UD MAHON
"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM","NGONG NGO, FABRICE",65,UD MAHON
"CONDE PEREIRA, ALEJANDRO MANUEL","ALARCON CAVERO, JOEL",15,SAN FRANCISCO B
"RIBAS MUÑOZ, SERGI","DIAZ ROMERO, GYLBERT",46,SAN FRANCISCO B
"SUÁREZ SERRA, ALEX","MASSANET CABRER, FRANCESC",46,SAN FRANCISCO B
"SILVA SALINAS, ALEJANDRO","GIRALDE BAUZA, JAVIER",46,SAN FRANCISCO B
"PADILLA BORRAS, PERE","BORDOY LEAL, PEDRO",46,SAN FRANCISCO B
