jugador_entra,jugador_sale,Minuto,equipo
"COMPANY INGLA, JAUME","MARTIN MONSALVE, IAN",54,CONSTANCIA A
"BALLE BRUNET, JOAN","CABEZAS GALLARDO, MANUEL",68,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","COLL AREVALO, JORDI",68,CONSTANCIA A
"KOUJILI EL TALHAOUI, MAROUAN","ROMAN DE REMENTERIA, ASIER",81,CONSTANCIA A
"OLIVER GELABERT, PERE","BLANCO WEBER, LUCA",81,CONSTANCIA A
"MARTINEZ BELA, JAVIER","FRESNEDA HIDALGO, HUGO",46,MALLORCA B
"MOLINA DONAIRE, DANIEL","GARCIA LLOMPART, RAFEL",46,MALLORCA B
"LAZARO TORRES, MARIO","COCA ANTELO, ANDREW",50,MALLORCA B
"AVILÉS MAESTRE, JOEL","ARAQUE CARRASCOSA, AITOR",65,MALLORCA B
"BIARNES MORENO, ALEJANDRO","HORRACH LLABRES, GERARDO",81,MALLORCA B
