jugador_entra,jugador_sale,Minuto,equipo
"NDIR GUEYE, MOUHAMADOUL LAMIN","ALLENDES SEPULVEDA, MARTIN ALONSO",61,PALMA F.C.
"GIL GOMILA, XAYRON","JIMENEZ JARAMILLO, KARLO ANDREU",61,PALMA F.C.
"FOLGADO GARNICA, PAULO","SEGORBE GODOY, MARCOS",76,PALMA F.C.
"PELLEGRINO, NICOLA EMANUELE","VILLALONGA GÓMEZ, IKER",84,PALMA F.C.
"PORCEL MARTINEZ, JORDI","FRANCO SINGEORZAN, ALEX",84,PALMA F.C.
"BERNHARDT, JOEL PIOTR","EL HABBOULA EL KORTOBI, ABDELMOIZE",46,PENYA INDEPENDENT A
"FERRER ROIG, JAUME","LOPEZ MARI, PABLO",60,PENYA INDEPENDENT A
"LLAMAS MARTINEZ, ERIC","CORDOBA TUR, MARC",60,PENYA INDEPENDENT A
"RAMON DIAZ, HUGO","VILLAR MARI, BARTOMEU TONI",60,PENYA INDEPENDENT A
"OROZCO RIERA, ASIER","MARTINEZ JUAN, MARTIN",70,PENYA INDEPENDENT A
