jugador_entra,jugador_sale,Minuto,equipo
"CAMPS SEOANE, VICTOR","CAPO MORA, MARC",64,PENYA CIUTADELLA ESPORTIVA A
"TALTAVULL VALVERDE, IAN","FLORIT ANGLADA, JOSEP",64,PENYA CIUTADELLA ESPORTIVA A
"ARGUIMBAU ALLES, MACIA","PALLICER AGUILO, XAVIER",64,PENYA CIUTADELLA ESPORTIVA A
"TALTAVULL JUANEDA, JOAN","TRIAY SASTRE, ADRIA",72,PENYA CIUTADELLA ESPORTIVA A
"PASCUAL GORNES, ENRIC","LOPEZ GONZALEZ, ALEJANDRO",72,PENYA CIUTADELLA ESPORTIVA A
"KEITA SIDIBE, MADY","SARMIENTO CABAÑIN, GABRIEL A",70,SP. ATº CIUTAT DE PALMA
"SANS JIMENEZ, MIQUEL ANGEL","MARTINEZ GOMEZ, DYLAN",70,SP. ATº CIUTAT DE PALMA
"GOMEZ BARBOSA, RICARDO ADRIAN","KRZYZYK SERRANO, PEDRO",78,SP. ATº CIUTAT DE PALMA
"CORTES MONTANER, LUIS","MUNAR LAZARO, DANIEL",83,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",83,SP. ATº CIUTAT DE PALMA
