jugador_entra,jugador_sale,Minuto,equipo
"BORDOY LEAL, PEDRO","MASSANET CABRER, FRANCESC",55,SAN FRANCISCO B
"HADJI, MONCEF TAYEB","CARDONA ALCANTARA, MARC",55,SAN FRANCISCO B
"GIRALDE BAUZA, JAVIER","SILVA SALINAS, ALEJANDRO",55,SAN FRANCISCO B
"BADJINKA NDIAYE, BUBAKAR","RIBAS MUÑOZ, SERGI",63,SAN FRANCISCO B
"LOPEZ CABRERA, JESUS","LUNEGRO, BRUNO",63,SAN FRANCISCO B
"SINTES PONS, PAU","FAMIGLIETTI MARQUEZ, LUCA",33,FERRERIES A
"MARIN HERNANDEZ, PAU","ROTGER LÓPEZ, LLUC",73,FERRERIES A
"DE HARO OLIVES, FRANCESC","BOSCH PULIDO, NIL",73,FERRERIES A
"BOSCH VALDERRABANO, TONI","JANER BOSCH, NOFRE",73,FERRERIES A
"CABALLERO MONTES, DAVID","FLORIT TAJUELO, HECTOR",80,FERRERIES A
