jugador_entra,jugador_sale,Minuto,equipo
"GARCIAS LLABRES, MIQUEL","EZ ZARY SAIDI, ISMAEL",59,SANTA CATALINA ATº A
"SASTRE BOTA, JAUME","MENDOZA SOLER, MARIO",59,SANTA CATALINA ATº A
"LOMAS SERVERA, PAU","ADROVER MELIS, FRANCESC",70,SANTA CATALINA ATº A
"LOPEZ FUXA, AARON","DEYÀ BELTRÁN, SEBASTIÀ",70,SANTA CATALINA ATº A
"MASCARELL LLABRES, MARC","MARTIN CABALLERO, ANGEL",77,SANTA CATALINA ATº A
"GARCIA HERNANDEZ, JOSE RAMON","MUÑOZ BAIXAULI, JUAN",46,PENYA ARRABAL A
"LEBRERO BENITEZ, HUGO","SEGUI ESTEBAN, IAN",56,PENYA ARRABAL A
"HERRERA IGLESIAS, ADRIAN","ARIAS BESTARD, ENZO",56,PENYA ARRABAL A
"PONS SERRANO, ALEIX","OSUNA REINHARDT, HECTOR",65,PENYA ARRABAL A
"ARALUCE SERRA, ADRIAN","CASTAÑER PECELLIN, RAFAEL",75,PENYA ARRABAL A
