jugador_entra,jugador_sale,Minuto,equipo
"BIARNES MORENO, ALEJANDRO","BURGAYA GENOVART, FERRAN",45,MALLORCA B
"VERD ALONSO, ABEL","AVILÉS MAESTRE, JOEL",64,MALLORCA B
"GARCIA LLOMPART, RAFEL","ARAQUE CARRASCOSA, AITOR",64,MALLORCA B
"COCA ANTELO, ANDREW","MARTINEZ BELA, JAVIER",83,MALLORCA B
"FRESNEDA HIDALGO, HUGO","MOLINA DONAIRE, DANIEL",89,MALLORCA B
"MORA GISPERT, HUGO","MASCARÓ SERVERA, JUAN",51,PLA DE NA TESA A
"MONTALBAN ROMERO, MILO JERONIMO","ASAMOAH ASANTEWAA, DENIS",64,PLA DE NA TESA A
"FERNÁNDEZ RODRÍGUEZ, IKER","FERRER FERNANDEZ, ALEJANDRO",64,PLA DE NA TESA A
"AIT SAID TAFZATI, NABIL","ONCALA CARAVACA, DANIEL",72,PLA DE NA TESA A
"MARTINEZ ESPINOSA, DENIS","ALONSO MUNICIO, PABLO",72,PLA DE NA TESA A
