jugador_entra,jugador_sale,Minuto,equipo
"CAIMARI FIGUEROLA, JAUME","THIAM BORRAS, KARIM",46,POBLENSE A
"FERRER RIGO, SEBASTIÀ","GONZÁLEZ ONETO, ASSIER",61,POBLENSE A
"VERGER ESTRANY, TOMEU","MORAGUES MORAGUES, JOAN",72,POBLENSE A
"GIBSON, JASPER","RIERA MARTÍNEZ, FERRAN",72,POBLENSE A
"MENDEZ DUARTE, IVAN","CHICA COMAS, JUAN A",88,POBLENSE A
"ROMAN DE REMENTERIA, ASIER","KOUJILI EL TALHAOUI, MAROUAN",46,CONSTANCIA A
"CABEZAS GALLARDO, MANUEL","MARTIN MONSALVE, IAN",57,CONSTANCIA A
"BALLE BRUNET, JOAN","COLL AREVALO, JORDI",57,CONSTANCIA A
"OLIVER GELABERT, PERE","BLANCO WEBER, LUCA",73,CONSTANCIA A
"PATRICIO GUAL, MARC","COMPANY INGLA, JAUME",79,CONSTANCIA A
