jugador_entra,jugador_sale,Minuto,equipo
"PUYA TUR, OSCAR","VIZCAINO SEGURA, ALAN",45,SD LA SALLE A
"GIL MASSANET, LLUIS","PETRARCA, ELIA",56,SD LA SALLE A
"SALMERON SEGURA, JONATHAN","ESCUERO PARDOS, MARTI",56,SD LA SALLE A
"COMAS HUTTEN, PAU LLUIS","AMAYA MALENO, FRANCISCO",56,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","FUSTER CORTES, FERNANDO",78,SD LA SALLE A
"LOPEZ FUXA, AARON","HASHIMOTO SEBASTIÁN, GAIZKA",30,SANTA CATALINA ATº A
"GARCIAS LLABRES, MIQUEL","EZ ZARY SAIDI, ISMAEL",45,SANTA CATALINA ATº A
"SASTRE BOTA, JAUME","MARTIN CABALLERO, ANGEL",61,SANTA CATALINA ATº A
"MASCARELL LLABRES, MARC","ADROVER MELIS, FRANCESC",61,SANTA CATALINA ATº A
"BARRIGA CATRINA, VICTOR","VICH FORTEZA, LLUC",73,SANTA CATALINA ATº A
