jugador_entra,jugador_sale,Minuto,equipo
"COLL AREVALO, JORDI","BALLE BRUNET, JOAN",45,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","CABEZAS GALLARDO, MANUEL",62,CONSTANCIA A
"SABATER SANCHO, MARC","BLANCO WEBER, LUCA",62,CONSTANCIA A
"MARTIN MONSALVE, IAN","ROMAN DE REMENTERIA, ASIER",70,CONSTANCIA A
"OLIVER GELABERT, PERE","CHUKWUKERE PULLET, GREGORY IKECHUKWU",70,CONSTANCIA A
"KRZYZYK SERRANO, PEDRO","KEITA SIDIBE, MADY",64,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","KRAUSSE, IGNACIO TOMAS",71,SP. ATº CIUTAT DE PALMA
"CORTES MONTANER, LUIS","GOMEZ BLANCA, AARON",90,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","MUNAR LAZARO, DANIEL",90,SP. ATº CIUTAT DE PALMA
"MARTINEZ GOMEZ, DYLAN","SANCHO OLIVER, PEDRO",90,SP. ATº CIUTAT DE PALMA
