jugador_entra,jugador_sale,Minuto,equipo
"ALLENDES SEPULVEDA, MARTIN ALONSO","SEGORBE GODOY, MARCOS",46,PALMA F.C.
"JIMENEZ JARAMILLO, KARLO ANDREU","GIL GOMILA, XAYRON",46,PALMA F.C.
"NDIR GUEYE, MOUHAMADOUL LAMIN","PORCEL MARTINEZ, JORDI",54,PALMA F.C.
"MORELL SACRISTÁN, CARLOS","FERRA OSPINA, CARLES JOAN",73,PALMA F.C.
"BUENO BEDOLLA, BRIAN RYAN","VILLALONGA GÓMEZ, IKER",73,PALMA F.C.
"VAZQUEZ SUAREZ, HUGO","HERRERA IGLESIAS, ADRIAN",70,PENYA ARRABAL A
"PONS SERRANO, ALEIX","LEBRERO BENITEZ, HUGO",77,PENYA ARRABAL A
"ROTTLANDER, LENNOX MARKUS","FIOL ACEITUNO, MIQUEL",77,PENYA ARRABAL A
"SEGUI ESTEBAN, IAN","CRESPI BARRERA, LEONARDO",77,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","MUÑOZ BAIXAULI, JUAN",82,PENYA ARRABAL A
