jugador_entra,jugador_sale,Minuto,equipo
"LUPIAÑEZ ALEMANY, TONI","DOBLAS TORRES, MIGUEL",59,ANDRATX A
"RIBOT FUSTER, MARIO","JIMENEZ PASTOR, IKER",59,ANDRATX A
"OPREA, ALESSIO MIHAI","ALMERING, BEPPE",72,ANDRATX A
"CASTELLO FERRA, JOAN","SANCHEZ JIMENEZ, FERNANDO",72,ANDRATX A
"ALARCON FERRER, ADRIAN","ROGEL ARRIAGA, BRYAN STALIN",85,ANDRATX A
"SEGURA QUETGLAS, PERE ANTONI","CABEZAS GALLARDO, MANUEL",68,CONSTANCIA A
"COLL AREVALO, JORDI","CHUKWUKERE PULLET, GREGORY IKECHUKWU",68,CONSTANCIA A
"KOUJILI EL TALHAOUI, MAROUAN","OLIVER GELABERT, PERE",78,CONSTANCIA A
"BALLE BRUNET, JOAN","FONTCUBERTA GALINDO, GABRIEL",78,CONSTANCIA A
"SABATER SANCHO, MARC","BLANCO WEBER, LUCA",85,CONSTANCIA A
