jugador_entra,jugador_sale,Minuto,equipo
"LEBRERO BENITEZ, HUGO","SEGUI ESTEBAN, IAN",64,PENYA ARRABAL A
"ARALUCE SERRA, ADRIAN","ARIAS BESTARD, ENZO",64,PENYA ARRABAL A
"MAS MAIMO, JOSEP","BELFAQUIH ZBAT, ANUAR",72,PENYA ARRABAL A
"VAZQUEZ SUAREZ, HUGO","HERRERA IGLESIAS, ADRIAN",78,PENYA ARRABAL A
"OSUNA REINHARDT, HECTOR","VALLESPIR TIMONER, PERE MARC",78,PENYA ARRABAL A
"CORDOBA TUR, MARC","FERRER TORRES, PEDRO",46,PENYA INDEPENDENT A
"LOPEZ MARI, PABLO","EL HABBOULA EL KORTOBI, ABDELMOIZE",46,PENYA INDEPENDENT A
"BERNHARDT, JOEL PIOTR","ODERA PACILIO, SANTIAGO",62,PENYA INDEPENDENT A
"FERRER ROIG, JAUME","LLAMAS MARTINEZ, ERIC",67,PENYA INDEPENDENT A
"GRANDA VILLAVICENCIO, DAVID JOAN","CREUHERAS GARCIA, MATHEO",76,PENYA INDEPENDENT A
