jugador_entra,jugador_sale,Minuto,equipo
"JIMENA BELTRAN, CARLOS","GONZÁLEZ ONETO, ASSIER",61,POBLENSE A
"GIBSON, JASPER","ENSEÑAT RAMIS, MIQUEL",61,POBLENSE A
"THIAM BORRAS, KARIM","CAIMARI FIGUEROLA, JAUME",71,POBLENSE A
"MEFTAH ES SALEMY, BILAL","MORAGUES MORAGUES, JOAN",71,POBLENSE A
"AGUILERA PERELLO, ADRIÀ","RIERA MARTÍNEZ, FERRAN",78,POBLENSE A
"DEYÀ BELTRÁN, SEBASTIÀ","EZ ZARY SAIDI, ISMAEL",55,SANTA CATALINA ATº A
"MARTIN CABALLERO, ANGEL","SASTRE BOTA, JAUME",55,SANTA CATALINA ATº A
"LOMAS SERVERA, PAU","ADROVER MELIS, FRANCESC",66,SANTA CATALINA ATº A
"BARRIGA CATRINA, VICTOR","KOPACH, DANIIL",78,SANTA CATALINA ATº A
"ALARCON RAGO, THIAGO","MENDOZA SOLER, MARIO",78,SANTA CATALINA ATº A
