jugador_entra,jugador_sale,Minuto,equipo
"KRZYZYK SERRANO, PEDRO","GOMEZ BLANCA, AARON",46,SP. ATº CIUTAT DE PALMA
"SARMIENTO CABAÑIN, GABRIEL A","SANS JIMENEZ, MIQUEL ANGEL",46,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","KEITA SIDIBE, MADY",70,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","PUJOL FONT, JAUME",70,SP. ATº CIUTAT DE PALMA
"BLANCO VALERO, DAVID","KRAUSSE, IGNACIO TOMAS",81,SP. ATº CIUTAT DE PALMA
"AIT SAID TAFZATI, NABIL","MORA GISPERT, HUGO",63,PLA DE NA TESA A
"CACERES COMAS, SERGI","MASCARÓ SERVERA, JUAN",63,PLA DE NA TESA A
"MONTALBAN ROMERO, MILO JERONIMO","ASAMOAH ASANTEWAA, DENIS",83,PLA DE NA TESA A
"NAVARRO BEZARES, JAVIER","FERNÁNDEZ RODRÍGUEZ, IKER",83,PLA DE NA TESA A
"ALONSO MUNICIO, PABLO","AIT SAID TAFZATI, NABIL",85,PLA DE NA TESA A
