jugador_entra,jugador_sale,Minuto,equipo
"MORENO GODOY, NICOLAS","RIBAS ROSALIA, XAVIER",64,CONSTANCIA A
"BALLE BRUNET, JOAN","BOTELLO CARMONA, PAU",70,CONSTANCIA A
"PATRICIO GUAL, MARC","COLL AREVALO, JORDI",70,CONSTANCIA A
"ROMAN DE REMENTERIA, ASIER","CHUKWUKERE PULLET, GREGORY IKECHUKWU",81,CONSTANCIA A
"OLIVER GELABERT, PERE","MAIRATA NOGUERA, ADRIA",81,CONSTANCIA A
"GRAHAM, NATHAN STUART","SOLER CALDENTEY, JOEL",62,MANACOR A
"ORTIZ CARROZA, ABRAHAM","MESTRE RIBOT, PAU",62,MANACOR A
"LAKHAL ZEROUALE, SAAD","ADROVER GARRIDO, GERARD",75,MANACOR A
"POSTIGO GARAT, RAUL","ADROVER GARRIDO, ALBERT",75,MANACOR A
"LAMSIAH AJGHOUF, OSSAMA","MONTES CARDONA, CHRISTIAN",88,MANACOR A
