jugador_entra,jugador_sale,Minuto,equipo
"JANER BOSCH, NOFRE","PULIDO COLL, IZAN",52,FERRERIES A
"BOSCH PULIDO, NIL","GOMILA BOSCH, LLUÍS",52,FERRERIES A
"ROTGER LÓPEZ, LLUC","CANTALAPIEDRA LOBATO, IKER",52,FERRERIES A
"TRIAY HIERRO, TEO","MARIN HERNANDEZ, PAU",60,FERRERIES A
"DE HARO OLIVES, FRANCESC","FEBRER VILLALONGA, ALBERT",74,FERRERIES A
"MARTORELL MUDOY, JOAN","ROTTLANDER, LENNOX MARKUS",17,PENYA ARRABAL A
"ARALUCE SERRA, ADRIAN","VAZQUEZ SUAREZ, HUGO",45,PENYA ARRABAL A
"LEBRERO BENITEZ, HUGO","FIOL ACEITUNO, MIQUEL",45,PENYA ARRABAL A
"OSUNA REINHARDT, HECTOR","CRESPI BARRERA, LEONARDO",71,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","SEGUI ESTEBAN, IAN",81,PENYA ARRABAL A
