jugador_entra,jugador_sale,Minuto,equipo
"FAQUINETTI VERGILIO, SAMUEL","FERRER TORRES, PEDRO",45,PENYA INDEPENDENT A
"LOPEZ MARI, PABLO","ODERA PACILIO, SANTIAGO",45,PENYA INDEPENDENT A
"AMASKOUT MANGAS, IMAD","MARTINEZ JUAN, MARTIN",55,PENYA INDEPENDENT A
"ARORA, VIRAJ","EL HABBOULA EL KORTOBI, ABDELMOIZE",62,PENYA INDEPENDENT A
"GRANDA VILLAVICENCIO, DAVID JOAN","VIERA GONZALEZ, SANTIAGO",85,PENYA INDEPENDENT A
"ARBOS DENGRA, DIEGO","GARCÍA GARCÍA, ÁLVARO",56,SD LA SALLE A
"SANCHEZ LAFUENTE, ARITZ","SALMERON SEGURA, JONATHAN",56,SD LA SALLE A
"FUSTER CORTES, FERNANDO","RODRIGUEZ MONGELOS, GAEL PAU",62,SD LA SALLE A
"AMAYA MALENO, FRANCISCO","PETRARCA, ELIA",62,SD LA SALLE A
"ESCUERO PARDOS, MARTI","MARTI RODRIGUEZ, IVAN",70,SD LA SALLE A
