jugador_entra,jugador_sale,Minuto,equipo
"MORA GISPERT, HUGO","AIT SAID TAFZATI, NABIL",45,PLA DE NA TESA A
"ONCALA CARAVACA, DANIEL","ASAMOAH ASANTEWAA, DENIS",51,PLA DE NA TESA A
"ALONSO MUNICIO, PABLO","COULIBALY COULIBALY, MADANE",51,PLA DE NA TESA A
"HOMAR PELLICER, JOEL","MONTALBAN ROMERO, MILO JERONIMO",82,PLA DE NA TESA A
"MESA ZAFRA, CHRISTIAN","MASCARÓ SERVERA, JUAN",85,PLA DE NA TESA A
"RIBOT FUSTER, MARIO","AMER CASTILLO, MIGUEL",72,ANDRATX A
"CASTELLO FERRA, JOAN","ROGEL ARRIAGA, BRYAN STALIN",72,ANDRATX A
"OPREA, ALESSIO MIHAI","LUPIAÑEZ ALEMANY, TONI",72,ANDRATX A
"JIMENEZ PASTOR, IKER","SINTES DIAZ, JOAN",80,ANDRATX A
"ALARCON FERRER, ADRIAN","PATRICIO TORRRENS, JUAN",88,ANDRATX A
