jugador_entra,jugador_sale,Minuto,equipo
"MESQUIDA BAUZA, PAU","FUSTER LATORRE, DANIEL",20,SANTA CATALINA ATº A
"EZ ZARY SAIDI, ISMAEL","MASCARELL LLABRES, MARC",45,SANTA CATALINA ATº A
"DEYÀ BELTRÁN, SEBASTIÀ","BARRIGA CATRINA, VICTOR",45,SANTA CATALINA ATº A
"ALARCON RAGO, THIAGO","HASHIMOTO SEBASTIÁN, GAIZKA",60,SANTA CATALINA ATº A
"MENDOZA SOLER, MARIO","ADROVER MELIS, FRANCESC",71,SANTA CATALINA ATº A
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",54,SP. ATº CIUTAT DE PALMA
"SANS JIMENEZ, MIQUEL ANGEL","AMENGUAL LIRIO, IVAN",54,SP. ATº CIUTAT DE PALMA
"CORTES MONTANER, LUIS","ABRAHAM BOLAÑOS, ISAAC",61,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","KRAUSSE, IGNACIO TOMAS",65,SP. ATº CIUTAT DE PALMA
"BLANCO VALERO, DAVID","SARMIENTO CABAÑIN, GABRIEL A",65,SP. ATº CIUTAT DE PALMA
