jugador_entra,jugador_sale,Minuto,equipo
"SINTES MELERO, ALVARO","TEJEDOR MORENO, ALEJANDRO",45,UD MAHON
"BOLIVAR PERAL, ROGER","GRUBAC, NOA",57,UD MAHON
"DE OLIVEIRA MESSIAS, KLAYVER","MASCARO MARTINEZ, IKER",57,UD MAHON
"LOPEZ FERNANDEZ, MARC","DE OLIVEIRA MESSIAS, EMMANUEL",62,UD MAHON
"GUTIERREZ SUAREZ, ANGEL","PEREZ MARTIN, IGNACIO",76,UD MAHON
"FEDELICH MARQUES, JAN","PASCUAL GORNES, ENRIC",68,PENYA CIUTADELLA ESPORTIVA A
"TALTAVULL VALVERDE, IAN","AGUILAR BOSCH, DAVID",68,PENYA CIUTADELLA ESPORTIVA A
"CAMPS SEOANE, VICTOR","CAPO MORA, MARC",75,PENYA CIUTADELLA ESPORTIVA A
"ARGUIMBAU ALLES, MACIA","TRIAY SASTRE, ADRIA",83,PENYA CIUTADELLA ESPORTIVA A
"TALTAVULL JUANEDA, JOAN","PONCIANO BUESO, JOSEP",83,PENYA CIUTADELLA ESPORTIVA A
