jugador_entra,jugador_sale,Minuto,equipo
"PATRICIO TORRRENS, JUAN","JIMENEZ PASTOR, IKER",55,ANDRATX A
"SANCHEZ JIMENEZ, FERNANDO","TUR HORRACH, HUG",55,ANDRATX A
"RIBOT FUSTER, MARIO","AMER CASTILLO, MIGUEL",55,ANDRATX A
"DOBLAS TORRES, MIGUEL","VARGAS RODRIGUEZ, NICOLAS",62,ANDRATX A
"CASTELLO FERRA, JOAN","SINTES DIAZ, JOAN",70,ANDRATX A
"EZ ZARY SAIDI, ISMAEL","ALARCON RAGO, THIAGO",45,SANTA CATALINA ATº A
"SASTRE BOTA, JAUME","DEYÀ BELTRÁN, SEBASTIÀ",63,SANTA CATALINA ATº A
"LOMAS SERVERA, PAU","ADROVER MELIS, FRANCESC",78,SANTA CATALINA ATº A
"HASHIMOTO SEBASTIÁN, GAIZKA","MENDOZA SOLER, MARIO",78,SANTA CATALINA ATº A
"GARCIAS LLABRES, MIQUEL","KOPACH, DANIIL",83,SANTA CATALINA ATº A
