jugador_entra,jugador_sale,Minuto,equipo
"BURGAYA GENOVART, FERRAN","MOLINA DONAIRE, DANIEL",58,MALLORCA B
"LAZARO TORRES, MARIO","BIARNES MORENO, ALEJANDRO",58,MALLORCA B
"VERA SALINAS, ERIK","TEJADA LLADONET, ORIOL",67,MALLORCA B
"FRESNEDA HIDALGO, HUGO","D'VAZ AFONSO, SPENCER GARCIA",67,MALLORCA B
"BIBILONI ISERN, SEBASTIA","AVILÉS MAESTRE, JOEL",71,MALLORCA B
"AMASKOUT MANGAS, IMAD","LLAMAS MARTINEZ, ERIC",46,PENYA INDEPENDENT A
"LOPEZ MARI, PABLO","BERNHARDT, JOEL PIOTR",46,PENYA INDEPENDENT A
"ARORA, VIRAJ","PRATS RIPOLL, MIQUEL",65,PENYA INDEPENDENT A
"FERRER ROIG, JAUME","VIERA GONZALEZ, SANTIAGO",65,PENYA INDEPENDENT A
"FERRER TORRES, PEDRO","CREUHERAS GARCIA, MATHEO",75,PENYA INDEPENDENT A
