jugador_entra,jugador_sale,Minuto,equipo
"CRESPI BARRERA, LEONARDO","PONS SERRANO, ALEIX",46,PENYA ARRABAL A
"HERRERA IGLESIAS, ADRIAN","ARIAS BESTARD, ENZO",65,PENYA ARRABAL A
"ARALUCE SERRA, ADRIAN","LEBRERO BENITEZ, HUGO",73,PENYA ARRABAL A
"SEGUI ESTEBAN, IAN","CASTAÑER PECELLIN, RAFAEL",73,PENYA ARRABAL A
"OSUNA REINHARDT, HECTOR","GARCIA HERNANDEZ, JOSE RAMON",79,PENYA ARRABAL A
"AMELLER ENRICH, LLORENÇ","ESPINOZA ARMIJOS, CARLOS ANDRES",46,UD MAHON
"BOLIVAR PERAL, ROGER","SINTES MELERO, ALVARO",58,UD MAHON
"GRUBAC, NOA","DE OLIVEIRA MESSIAS, KLAYVER",58,UD MAHON
"LOPEZ FERNANDEZ, MARC","DE OLIVEIRA MESSIAS, EMMANUEL",62,UD MAHON
"ELHADJ ABDOULAYE, BALDE","GOMEZ GORDILLO, RAUL",62,UD MAHON
