jugador_entra,jugador_sale,Minuto,equipo
"MORAGUES MORAGUES, JOAN","FERRER RIGO, SEBASTIÀ",58,POBLENSE A
"GONZÁLEZ ONETO, ASSIER","VIVES COMAS, JOAN JORDI",58,POBLENSE A
"JIMENA BELTRAN, CARLOS","CAIMARI FIGUEROLA, JAUME",70,POBLENSE A
"THIAM BORRAS, KARIM","RETTICH SOLER, JOSEP",92,POBLENSE A
"AGUILERA PERELLO, ADRIÀ","CHICA COMAS, JUAN A",92,POBLENSE A
"FOLGADO GARNICA, PAULO","NDIR GUEYE, MOUHAMADOUL LAMIN",65,PALMA F.C.
"PORCEL MARTINEZ, JORDI","SAMPOL MARTINEZ, MARC",77,PALMA F.C.
"BUENO BEDOLLA, BRIAN RYAN","FERRA OSPINA, CARLES JOAN",83,PALMA F.C.
"ROMERO ALASSIA, LUCAS T","PELLEGRINO, NICOLA EMANUELE",83,PALMA F.C.
"VICENS VIDAL, PAU","MORELL SACRISTÁN, CARLOS",83,PALMA F.C.
