jugador_entra,jugador_sale,Minuto,equipo
"AMENGUAL LIRIO, IVAN","GOMEZ BLANCA, AARON",45,SP. ATº CIUTAT DE PALMA
"SANS JIMENEZ, MIQUEL ANGEL","KRAUSSE, IGNACIO TOMAS",71,SP. ATº CIUTAT DE PALMA
"BLANCO VALERO, DAVID","CORTES MONTANER, LUIS",79,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","ABRAHAM BOLAÑOS, ISAAC",84,SP. ATº CIUTAT DE PALMA
"GOMEZ BARBOSA, RICARDO ADRIAN","PUJOL FONT, JAUME",84,SP. ATº CIUTAT DE PALMA
"SUÁREZ SERRA, ALEX","MASSANET CABRER, FRANCESC",37,SAN FRANCISCO B
"CARDONA ALCANTARA, MARC","GIRALDE BAUZA, JAVIER",45,SAN FRANCISCO B
"LLEDO SAMPOL, ADRIA","BADJINKA NDIAYE, BUBAKAR",60,SAN FRANCISCO B
"RIBAS MUÑOZ, SERGI","BORDOY LEAL, PEDRO",83,SAN FRANCISCO B
"SILVA SALINAS, ALEJANDRO","ANDEBUELA BARRIOS, PABLO",83,SAN FRANCISCO B
