jugador_entra,jugador_sale,Minuto,equipo
"ROTGER LÓPEZ, LLUC","PONS CARRERAS, ANGEL",51,FERRERIES A
"CANTALAPIEDRA LOBATO, IKER","BOSCH VALDERRABANO, TONI",69,FERRERIES A
"AMELLER RIUDAVETS, JOSEP","SINTES PONS, PAU",69,FERRERIES A
"BOSCH PULIDO, NIL","DE LA PUERTA MARTORELL, JAUME",79,FERRERIES A
"MBAYE RUIZ, MOUHAMAD YASIN","FLORES BARRERA, GERARD",79,FERRERIES A
"MARTINEZ BELA, JAVIER","COCA ANTELO, ANDREW",54,MALLORCA B
"VERA SALINAS, ERIK","VAN DER MEER GARI, YANNICK",54,MALLORCA B
"BURGAYA GENOVART, FERRAN","HORRACH LLABRES, GERARDO",67,MALLORCA B
"MOLINA DONAIRE, DANIEL","AVILÉS MAESTRE, JOEL",67,MALLORCA B
"LAZARO TORRES, MARIO","DIALLO CONDE, ABDOURAHAMANE",78,MALLORCA B
