jugador_entra,jugador_sale,Minuto,equipo
"EZ ZARY SAIDI, ISMAEL","ALARCON RAGO, THIAGO",46,SANTA CATALINA ATº A
"SASTRE BOTA, JAUME","DEYÀ BELTRÁN, SEBASTIÀ",66,SANTA CATALINA ATº A
"MENDOZA SOLER, MARIO","ADROVER MELIS, FRANCESC",66,SANTA CATALINA ATº A
"MASCARELL LLABRES, MARC","LOPEZ FUXA, AARON",78,SANTA CATALINA ATº A
"BARRIGA CATRINA, VICTOR","MARTIN CABALLERO, ANGEL",85,SANTA CATALINA ATº A
"TRIAY PETHERAM, TOMAS ISMAEL","SOLER CALDENTEY, JOEL",65,MANACOR A
"ORTIZ CARROZA, ABRAHAM","MONTES CARDONA, CHRISTIAN",65,MANACOR A
"MESTRE RIBOT, PAU","POSTIGO GARAT, RAUL",69,MANACOR A
"RODRIGUEZ GALDON, DANIEL","CORCHADO JIMENEZ, ISAAC",78,MANACOR A
"RODRIGUEZ LOPEZ, RAUL","LAMSIAH AJGHOUF, OSSAMA",78,MANACOR A
