jugador_entra,jugador_sale,Minuto,equipo,Jornada
"LUNEGRO, BRUNO","SALAMANCA GALERA, AITOR",45,SAN FRANCISCO B,1
"SUÁREZ SERRA, ALEX","BADJINKA NDIAYE, BUBAKAR",45,SAN FRANCISCO B,1
"LOPEZ CABRERA, JESUS","RIBAS MUÑOZ, SERGI",60,SAN FRANCISCO B,1
"BARRAGAN AGUILO, HECTOR DARIO","BORDOY LEAL, PEDRO",60,SAN FRANCISCO B,1
"CLADERA SOBERATS, LLORENÇ","GIRALDE BAUZA, JAVIER",60,SAN FRANCISCO B,1
"FRANCO SINGEORZAN, ALEX","SEGORBE GODOY, MARCOS",45,PALMA F.C.,1
"VILLALONGA GÓMEZ, IKER","PORCEL MARTINEZ, JORDI",45,PALMA F.C.,1
"JIMENEZ JARAMILLO, KARLO ANDREU","FERRA OSPINA, CARLES JOAN",64,PALMA F.C.,1
"PELLEGRINO, NICOLA EMANUELE","GIL GOMILA, XAYRON",79,PALMA F.C.,1
"ROMERO ALASSIA, LUCAS T","VICENS VIDAL, PAU",84,PALMA F.C.,1
"MENDOZA SOLER, MARIO","LOMAS SERVERA, PAU",50,SANTA CATALINA ATº A,1
"NAVARRO BEZARES, JAVIER","EZ ZARY SAIDI, ISMAEL",57,SANTA CATALINA ATº A,1
"KOPACH, DANIIL","SASTRE BOTA, JAUME",57,SANTA CATALINA ATº A,1
"BARRIGA CATRINA, VICTOR","MARTIN CABALLERO, ANGEL",77,SANTA CATALINA ATº A,1
"MASCARELL LLABRES, MARC","VICH FORTEZA, LLUC",77,SANTA CATALINA ATº A,1
"AMASKOUT MANGAS, IMAD","LLAMAS MARTINEZ, ERIC",56,PENYA INDEPENDENT A,1
"FERRER ROIG, JAUME","EL HABBOULA EL KORTOBI, ABDELMOIZE",56,PENYA INDEPENDENT A,1
"BERNHARDT, JOEL PIOTR","LOPEZ MARI, PABLO",66,PENYA INDEPENDENT A,1
"CREUHERAS GARCIA, MATHEO","ODERA PACILIO, SANTIAGO",72,PENYA INDEPENDENT A,1
"AIT SAID TAFZATI, NABIL","COULIBALY COULIBALY, MADANE",46,PLA DE NA TESA A,1
"MONTALBAN ROMERO, MILO JERONIMO","MESA ZAFRA, CHRISTIAN",46,PLA DE NA TESA A,1
"FERRER FERNANDEZ, ALEJANDRO","ASAMOAH ASANTEWAA, DENIS",62,PLA DE NA TESA A,1
"CACERES COMAS, SERGI","MORA GISPERT, HUGO",62,PLA DE NA TESA A,1
"BOSCH PULIDO, NIL","CANTALAPIEDRA LOBATO, IKER",46,FERRERIES A,1
"DE HARO OLIVES, FRANCESC","FEBRER VILLALONGA, ALBERT",55,FERRERIES A,1
"SINTES PONS, PAU","FAMIGLIETTI MARQUEZ, LUCA",75,FERRERIES A,1
"RODRIGUEZ ROIG, ARIAN","GARCIA ALBA, JAVIER",45,U D IBIZA A,1
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","AGUILAR COSTA, MARTÍ",66,U D IBIZA A,1
"CUBERO GUASCH, JOAN","RODRIGUEZ MARTOS, AARON",70,U D IBIZA A,1
"MEDINA ARANDA, SERGIO","BERNASCONI, SANTINO",70,U D IBIZA A,1
"FERRER RIGO, SEBASTIÀ","DE LA CRUZ RIERA, JOAN MATEU",45,POBLENSE A,1
"VERGER ESTRANY, TOMEU","CAIMARI FIGUEROLA, JAUME",62,POBLENSE A,1
"AGUILERA PERELLO, ADRIÀ","MORAGUES MORAGUES, JOAN",80,POBLENSE A,1
"FERRAGUT DIAZ, TONI","GAYUBAS GONZALEZ, LUIS MIGUEL",65,PLATGES DE CALVIA A,1
"PUJOL ALOMAR, TELM","CASAUS SANCHEZ, JOSE IGNACIO",70,PLATGES DE CALVIA A,1
